Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Kilean Lodge-2021-AC Electrical,44462,Completion Check sent 08/25/2021,,Tim Morrison
Garden City Manor-2021-AO Smith Hot Water Heater,44462,Completion Check sent 08/25/2021,,Tim Morrison
The Village Seniors-2021-Wounds Mattress,44462,Completion Check sent 08/25/2021,,Tim Morrison
Brierwood Gardens - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,#N/A
Blenheim Community Village - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,#N/A
Riverside Place - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Northridge - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Ridgeview - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Stirling Heights - 2021 - Roof,44462,Completion Check sent 08/25/2021,,#N/A
2020 LTC Nurse Call,44228,Accrual Sheet Sent 08/27/2021 to Filipe Felinto,,Suzanne D'Mello
Nurse Call - Regal,44228,Accrual Sheet Sent 08/27/2021 to Filipe Felinto,,Suzanne D'Mello
Nurse Call - RET JV,44228,Accrual Sheet Sent 08/27/2021 to Filipe Felinto,,Suzanne D'Mello
2021 - SO - Workday Adaptive Budget Planning Capital,Completion Check Sent 11/15/2021,,,Suzanne D'Mello
The Scenic Grande Marketing Project,Development Project,,,Stacy Matos
Yardi Projects,44348,,Nothing to be transferred Nov-21,Slajana Jovanovska
2021 - SO - Candidate Experience Capital,44429,,Nothing to be transferred Nov-21,Slajana Jovanovska
2021 - RET - Yardi Program Capital,44348,,Transferred & Disposed Nov-21,Slajana Jovanovska
2021 - RET JV - Yardi Program Capital,44348,,Transferred & Disposed Nov-21,Slajana Jovanovska
2021 - LTC - Audit Tool Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
2021 - LTC - Audit Tool Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
2021 - LTC JV - Audit Tool Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
2021 - LTC JV - Audit Tool Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
Parkview Place Care Centre - 2021 - Kitchen FF&E,44409,,,#N/A
Kildonan - 2021 - Kitchen FF&E,44409,,,#N/A
Maples - 2021 - Kitchen FF&E,44409,,,#N/A
Heritage Lodge - 2021 - Kitchen FF&E,44409,,,#N/A
75089T12,43831,Accrual sheet to be sent to PM in August.,,Robert Laporte
Leaside Nurse Call,43831,Accrual sheet to be sent to PM in August.,,Robert Laporte
AXR Wharncliffe Development,Development Project,,,Paul McCorquodale
Hallowell_2021_Toaster,44454,,,#N/A
Capilano_2021_Blixer(2020unpaid),44454,,,#N/A
Heartwood_2021_steamerrepair,44454,,,#N/A
Briargate_2021_Toaster,44459,Added to Nick Calina's Spreadsheet,,#N/A
Heartland_2021_TopMixer,44459,Added to Nick Calina's Spreadsheet,,#N/A
Windsor Park_2021_Robot Coupe,44459,Added to Nick Calina's Spreadsheet,,#N/A
Windsor Park_2021_Fridge,44459,Added to Nick Calina's Spreadsheet,,#N/A
Churchill Place - 2021 - Dining Room Table Top,44459,Added to Nick Calina's Spreadsheet,,#N/A
The Westwood - 2021 - Table Top,44459,Added to Nick Calina's Spreadsheet,,#N/A
Sunwood_2021_Microwave,44459,Added to Nick Calina's Spreadsheet,,#N/A
The Claremont - 2021 - Table top Program,44459,Added to Nick Calina's Spreadsheet,,#N/A
Briarfield Gardens - 2021 - Table Top Program,44459,Added to Nick Calina's Spreadsheet,,#N/A
King Gardens - 2021 - Range,44459,Added to Nick Calina's Spreadsheet,,#N/A
Whitecliff_2021_PowerMixer,44459,Added to Nick Calina's Spreadsheet,,#N/A
The Beachwood - 2021 - Combi oven,44459,Added to Nick Calina's Spreadsheet,,#N/A
Scenic Acres_2021_TiltKettle,44459,Added to Nick Calina's Spreadsheet,,#N/A
Greenway_2021_Slicer,44459,Added to Nick Calina's Spreadsheet,,#N/A
Rayoak_2021_refrigerator,44459,Added to Nick Calina's Spreadsheet,,#N/A
Aspen Ridge_2021_Microwave,44459,Added to Nick Calina's Spreadsheet,,#N/A
Riverside Place_2021_Blixer,44454,,,#N/A
"Dishes & cutlery, 102 Residents",44459,Added to Nick Calina's Spreadsheet,,#N/A
McKenzie Towne - 2021 - Culinary Program,44459,Added to Nick Calina's Spreadsheet,,Nick Calina
Cambridge_2021_Ice Machine,44459,Added to Nick Calina's Spreadsheet,,#N/A
Port Perry_2021_IceMachine,44459,Added to Nick Calina's Spreadsheet,,#N/A
ValleyStream_2021_IceMachine,44459,Added to Nick Calina's Spreadsheet,,#N/A
Donway_2021_Toaster,44459,Added to Nick Calina's Spreadsheet,,#N/A
Cambridge_2021_Toaster,44459,Added to Nick Calina's Spreadsheet,,#N/A
Hunt Club_2021_Toaster,44459,Added to Nick Calina's Spreadsheet,,#N/A
McKenzie Towne_2021_StandupFridge,44459,Added to Nick Calina's Spreadsheet,,#N/A
James Bay_2021_DoubledoorCooler,44454,,,#N/A
Scenic Grande Development,Development Project,,,Mike Brcko
Regina New Build,43282,Accrual sheet to be sent to PM in August.,,Mike Brcko
Ajax Land Development,43282,Accrual sheet to be sent to PM in August.,,Mike Brcko
Stittsville Vacant Land,Development Project,,,Mike Brcko
Appleby Development,Development Project,,,Mike Brcko
Edmonton Land Development,Development Project,,,Mike Brcko
Wharncliffe Development,Development Project,,,Mike Brcko
Grimsby Land Development,Development Project,,,Mike Brcko
Spruce Grove Development,Development Project,,,Mike Brcko
Glynnwood Vacant Land,Development Project,,,Mike Brcko
Barrie Development,Development Project,,,Mike Brcko
Bradgate Expansion,Development Project,,,Mike Brcko
Ottawa Development,Development Project,,,Mike Brcko
Orleans LTC Development,Development Project,,,Mike Brcko
Oakville Land Development,Development Project,,,Mike Brcko
Vancouver East Development,Development Project,,,Mike Brcko
Markham Development,Development Project,,,Mike Brcko
Hanover Land Development,Development Project,,,Mike Brcko
Grimsby Development,Development Project,,,Mike Brcko
Maplecrest Development,Development Project,,,Mike Brcko
Bayview & Eglinton Land Assembly,Development Project,,,Mike Brcko
Cornwall LTC Development,Development Project,,,Mike Brcko
Spectrum Development,Development Project,,,Mike Brcko
Project Workforce Management,Not Complete as of 11/15/2021,Completion Check to be sent February 2022,Not Complete as of 11/15/2021,Mark Spencer
Dorchester Dining Rm FF&E,44354,,Nothing to be transferred Nov-21,Malcolm Young
Clorox cleaning machines - WT,44348,,Nothing to be transferred Nov-21,Malcolm Young
Poseidon Care Centre_2021_ Ice Machine,Not Complete Aug-21,,Added to Culinary Check - LTC,Malcolm Young
Westwood_2021_IceMachine,44409,,,#N/A
The Waverley - FF&E,43983,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
92969706,44044,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
92969501,43983,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
94077707,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
94078716,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
92388719,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Parkview Place Care Centre - 2021 - Elevators,44356,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
Maples - 2021 - Suite FF&E,Not Complete as of 09/13/2021,Completion Check sent 08/27/2021,,Malcolm Holbrow
Valleyview - 2021 - Lift and tub,44356,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
Charleswood Care Centre - 2021 - Resident Room FF&E,44356,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
Heritage Lodge - 2021 - Beds and Resident FFE,44356,Accrual Sheet sent 08/27/2021,,Malcolm Holbrow
Parkview Place - HWT's not working - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Parkview Place - HWT Replacement - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Parkview Place - Backflow Replacements - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Parkview Place - Replace Ventor Motor - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Poseidon - 2021 - Lifts,44452,Completion Check sent 08/27/2021,,#N/A
Poseidon - 2021 - FF&E,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
Green Falls Landing - Storm Damage - 2021,44452,Completion Check sent 08/27/2021,,#N/A
The Franklin - Fire Systems - 2021,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
The Bentley Yorkton - 2021 - PTAC,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
2021 - Swift Current - Thermostats,44452,Completion Check sent 08/27/2021,,#N/A
Bentley Regina - 2021 - Shed,44452,Completion Check sent 08/27/2021,,#N/A
The Waverley - Sprinkler/panel - 2021,Not Complete as of 09/13/2021,Completion Check sent 08/27/2021,,Malcolm Holbrow
Waverly & Rosewood - 2021 - PTAC Replacement,44452,Completion Check sent 08/27/2021,,#N/A
2021 - The Franklin - Sara Pendants/Resident Safety,44452,Completion Check sent 08/27/2021,,#N/A
2021 - The Waverley - Bus repair,44452,Completion Check sent 08/27/2021,,#N/A
2021- Portsmouth - Backflow replacement,44452,Completion Check sent 08/27/2021,,#N/A
The Wellington - Room 329 AC - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Renaissance - Water Damage - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Marian Chateau - 2021 - washer/dryer,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
Bentley Regina - 2021 - Generator,44452,Completion Check sent 08/27/2021,,#N/A
Heritage Lodge - 2021 - Lifts,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
Kildonan - Recirc Pump - 2021,New project. Completion check not sent.,Completion check to be sent in August.,,Malcolm Holbrow
Charleswood - 2021 - Pipe replacement and pipe flush,44452,Completion Check sent 08/27/2021,,#N/A
Charleswood Care Centre - 2021 - Lifts with scale,44452,Completion Check sent 08/27/2021,,#N/A
Maples - 2021 - Lifts,44452,Completion Check sent 08/27/2021,,#N/A
2021 - Room Furinture - Poseidon Care Centre,44452,Completion Check sent 08/27/2021,,#N/A
Parkview Place - Walk-in Freezer Door - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Renaissance - Fire pump/controller and Automatic Transfer Switch,44452,Completion Check sent 08/27/2021,,#N/A
The Bentley Yorkton - Fire Systems - 2021,44452,Completion Check sent 08/27/2021,,#N/A
The Bentley Moose Jaw - Pendants - 2021,44452,Completion Check sent 08/27/2021,,#N/A
The Bentley Swift Current - Pendants - 2021,44452,Completion Check sent 08/27/2021,,#N/A
The Bentley Regina - 2021 - PTAC replacement,44452,Completion Check sent 08/27/2021,,#N/A
The Bentley Swift Current - Carpet Cleaner - 2021,44452,Completion Check sent 08/27/2021,,#N/A
The Wellington - 2021- Room 316 Compressor,44452,Completion Check sent 08/27/2021,,#N/A
Renaissance - 2021 - Boilers,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
Renaissance - 2021 - Interior Signage,44452,Completion Check sent 08/27/2021,,#N/A
Kildonan - Laundry Exhaust - 2021,44452,Completion Check sent 08/27/2021,,Malcolm Holbrow
Charleswood Care Centre - 2021 - Suite FF&E,44452,Completion Check sent 08/27/2021,,#N/A
Maples - Fire System Repair - 2021,44452,Completion Check sent 08/27/2021,,#N/A
Kildonan - 2021 - 3rd floor AC,44452,Completion Check sent 08/27/2021,,#N/A
Website Maintenance,Not Complete Aug-21,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Loris Parekh
2021 - SO - Website Maintenance Capital,44348,,,#N/A
Forest Heights - 2021 - Kitchen Equipment,44454,,,#N/A
Eagle Terrace - 2021 - Kitchen FF&E,44454,,,Lee Dunlop
Arbour Heights_2021_Steamer,44454,,,#N/A
PCC Enhanced Billing - LTC,44246,,,Kristina Ioudine
Kronos V8 - LTC JV Ops,44256,,,Kristina Ioudine
PCC Enhanced Billing - LTC JV,44256,,,Kristina Ioudine
Arbour Heights Menustream,Cancelled,Cancelled,,Kristina Ioudine
Kronos v8 Upgarde – RET JV,44256,,,Kristina Ioudine
Kronos v8 Upgarde – LTC,44256,,,Kristina Ioudine
Kronos v8 Upgarde – RET,44256,,,Kristina Ioudine
2021 - LTC JV - Menustream Capital,44429,,,Kristina Ioudine
VR for Residents - LTC JV,44166,Accrual sheet to be sent to PM in August.,Nothing to be transferred Nov-21,Krista Griffin
VR for Residents – LTC JV BC,44256,Accrual sheet to be sent to PM in August.,Nothing to be transferred Nov-21,Krista Griffin
Crofton Manor Development,Development Project,,,Kiet Ngo
St. Lawrence Place Parking Gar,44044,,,Kerrsten Norwood
92388704,Cancelled,To be cancelled,,Kerrsten Norwood
94078715,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
92389701,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven Fire Door,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel By Memory Care Washroom,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Lynwood Fire Doors,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Lynwood Public Washroom,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel By - 2021 - 2nd Floor Reno,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Lynwood - 2021 - Building Envelope Repair / Replacement,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Lynwood - 2021 - Fire Door Compliance,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel By - 2021 - Roof,44429,,,Kerrsten Norwood
Colonel By - 2021 - Snowblower,44348,,,Kerrsten Norwood
St.Lawrence Place - 2021 - Emergency Pipe Replacement,44348,,,Kerrsten Norwood
The Westwood - 2021 - Care Floor Renovation,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
The Westwood - 2021 - Keypads/Wander guard,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven - 2021 - 2nd Floor Renovation,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven - 2021 - Manifolds,44348,,,Kerrsten Norwood
Valley Stream - 2021 - Heat Pump,44429,,,#N/A
Valley Stream - 2021 - Care Floor Renovation,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Longfields Manor - 2021 - Roof RTU,44348,,,Kerrsten Norwood
Montfort - 2021 - Recirc Pumps,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Heartwood - 2021 - Generator,44429,,,#N/A
Colonel By - 2021 - Elevator,44429,,,#N/A
Barrhaven - 2021 - Elevator,44429,,,#N/A
Lynwood - 2021 - Roof (Emergency),44429,,,#N/A
Valley Stream - 2021 - Washing Machines,44429,,,#N/A
Colonel By - 2021 - Wanderguard,44429,,,#N/A
St.Lawrence Place - 2021 - Window Replacement,44429,,,#N/A
St.Lawrence Place - 2021 - AC Units,44429,,,Kerrsten Norwood
Prince of Wales - 2021 - Lift (Nursing),44429,,,#N/A
Bridlewood - 2021 - 3 x Dryers,44429,,,#N/A
Prince of Wales - 2021 - Parker Tub,44429,,,#N/A
Colonel By - 2021 - Fan Coils,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
The Westwood - 2021 - B1 & B2 - Brick Repointing and Replacement,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven - 2021 - Ductless Split x 4,44429,,,Kerrsten Norwood
Prince of Wales - 2021 - Heating/Cooling Units,44429,,,Kerrsten Norwood
Longfields - 2021 - Generator,44429,,,#N/A
Longfields Manor - 2021 - FAP & Devices,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Montfort - 2021 - AC Resident Suites,44429,,,Kerrsten Norwood
Montfort - 2021 - Vacuums,44429,,,#N/A
The Westwood - 2021 - Fire Alarm Panel,44429,,,#N/A
Prince of Wales - 2021 - Fire Alarm Panel,44429,,,#N/A
Barrhaven - 2021 - FAP & Devices,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven - 2021 - Door Closers,Not Complete Aug-21,,Completion Check Ready to be Sent,Kerrsten Norwood
Barrhaven - 2021 - Dryer (Staff Laundry),44429,,,#N/A
Lynwood - 2021 - Refrigeration Equipment,44429,,,#N/A
Bentley Saskatoon - 2021 - Toaster,44459,,,#N/A
Parkwood Place - 2021 - Range,44459,,,#N/A
Sunwood - 4 Suite Conversion,44348,,,Josh Guy
Hollyburn Kitchen Grease Interceptor,44440,,,Josh Guy
Glenwarren Bathroom,44348,,,Josh Guy
Parkwood Manor Fire Shutter,Not Complete Sept-2021,,,Josh Guy
Glenwarren Suite Washrooms,44248,,,Josh Guy
Whitecliff Elevator,Not Complete Sept-2021,,,Josh Guy
Sunwood - 2021 - New Suites,44348,,,Josh Guy
Glenwarren Lodge - 2021 - Tub Room,44348,,,Josh Guy
Capilano - 2021 - Elevators,Cancelled,To be cancelled,,Josh Guy
Capilano - 2021 - Garbage Compactor,44440,,,Josh Guy
Arbutus - 2021 - Laundry Washer Replacement,44440,,,Josh Guy
Capilano 2021 - Toilet Repairs,44440,,,#N/A
Capilano - 2021 - Laundry Washer repair,44440,,,#N/A
The Dorchester - 2021 - Exterior Structure,Not Complete Sept-2021,,,Josh Guy
The Kensington - 2021 - Boiler,44440,,,#N/A
Sandringham - 2021 - Dining Room FF&E,44440,,,#N/A
James Bay - 2021 - Lifts & Slings,44440,,,#N/A
James Bay - 2021 - Mattress & Bed Replacement,44440,,,Josh Guy
Glenwarren Place - 2021 - Lifts & Slings,44440,,,#N/A
Glenwarren Place - 2021 - Mattress & Bed Replacement,44440,,,#N/A
Parkwood Manor - 2021 - Fire & Life Safety,Not Complete Sept-2021,,,Josh Guy
Parkwood Place - 2021 - Laundry Equipment,44440,,,#N/A
Crofton Manor - 2021 - Arjo Lifts - Seats & Batteries,44440,,,#N/A
Crofton Manor - 2021 - Sprinkler Deficiencies,44440,,,Josh Guy
Sandringham - 2021 - Mattress & Beds,44440,,,#N/A
Sandringham - 2021 - Bath Chair,44440,,,#N/A
"Project Name Glenwarren - 2021 - Abatement in Resident, Mechanical & Hairdresser Room",New project. Completion check not sent.,,,Adam moy
James Bay - 2021 - Arjo Tubs,44440,,,#N/A
AXR JV Elmwood Redevelopment,Development Project,Development Project,,John Mitchell
Stoneridge Redevelopment,Development Project,,,John Mitchell
75088152,43831,Accrual sheet to be sent to PM in August.,,Joan Dewaele
2020 HCN PC Refresh,44166,Accrual sheet to be sent to PM in August.,,Joan Dewaele
AXR BC PC Refresh,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
AXR OpCo PC Refresh,Not Completed 06-21,Accrual sheet to be sent to PM in August.,,Joan Dewaele
LTC PC Refresh,44166,Accrual sheet to be sent to PM in August.,,Joan Dewaele
RET Bulk Laptop,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
PC Refresh - WT,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
RET PC Refresh,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
Support Office PC,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
PRJ-2019-000337,Not Completed Feb 2021,Completion check to be sent in August.,,Joan Dewaele
2020 Server OS Upgrade - RET,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
2021 SO IT Refresh & Growth Endpoint Capital,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
2021 RET IT Refresh & Growth Endpoint Capital,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
2021 RET-JV IT Refresh & Growth Endpoint Capital,Not Complete 06-21,Completion check to be sent in August.,,Joan Dewaele
75089T67,43831,Accrual sheet to be sent to PM in August.,,Jill Leroy
LTC Telephone System,43831,Accrual sheet to be sent to PM in November,,Jill Leroy
Telephone Replacement - WT,44166,Accrual sheet to be sent to PM in November,,Jill Leroy
Resident Services - Alta Vista,44357,Accrual sheet to be sent to PM in November,,Jill Leroy
Elmwood Place Telephone,44357,Development Not Complete,,Jill Leroy
2021 - RET - Resident Services Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Jill Leroy
2021 - RET JV - Resident Services Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Jill Leroy
Axium Phone System,44357,Accrual sheet to be sent to PM in November,,Jill Leroy
Beacon Hill ESO Lighting,44248,N/A,,Jiaming Liang
Regal Building Condition Report,44248,N/A,,Jiaming Liang
WT Building Condition Report,44248,N/A,,Jiaming Liang
Kennedy Building Condition Report,44368,N/A,,Jiaming Liang
LTC Building Condition Report,44248,N/A,,Jiaming Liang
2021 RET-JV IT Refresh & Growth Infrastructure Capital,Not Complete 06-21,Completion check to be sent in August.,,Jeff Krusky
2021 LTC IT Refresh & Growth Infrastructure Capital,Not Complete 06-21,Completion check to be sent in August.,,Jeff Krusky
2021 RET IT Refresh & Growth Infrastructure Capital,Not Complete 06-21,Completion check to be sent in August.,,Jeff Krusky
2021 LTC-JV IT Refresh & Growth Infrastructure Capital,Not Complete 06-21,Completion check to be sent in August.,,Jeff Krusky
Barrhaven - 2021 - Convection Oven,44409,,,#N/A
Arbour Heights - 2021 - Blixer,44409,,,#N/A
Portobello - 2021 - steamer,44409,,,#N/A
Capilano - 2021 - Concrete side walk & ramp,Not Complete Aug-21,Completion Check to be Sent in Nov-21,Completion Check Ready to be Sent,Hazel D'Gama
The Village Seniors Community - 2021 - Q2 IPAC,44409,Not Needed - IPAC,Not Needed - IPAC,Hazel D'Gama
Capilano - 2021 - Washroom,Not Complete Aug-21,Completion Check to be Sent in Nov-21,Completion Check Ready to be Sent,Hazel D'Gama
Telfer Place - 2021 - IPAC Q2,44409,Not Needed - IPAC,Not Needed - IPAC,Hazel D'Gama
The Bentley Saskatoon - 2021 - Washer Dryer,44409,,,#N/A
Chateau Renoir - 2021 - Glycol Pump Replacement,44409,,,#N/A
South Terrace - 2021 - Boiler Repairs,Not Complete Aug-21,Completion Check to be Sent in Nov-21,Completion Check Ready to be Sent,Hazel D'Gama
Glenwarren - 2021 - Handicapped Door,44409,,Nothing to be transferred Nov-21,Hazel D'Gama
Fosterbrooke - 2021 - Q2 IPAC,44409,Not Needed - IPAC,Not Needed - IPAC,Hazel D'Gama
Scenic Acres - 2021 - Kitec Pite Fittings,Not Complete Aug-21,Completion Check to be Sent in Nov-21,Completion Check Ready to be Sent,Hazel D'Gama
McKenzie Towne - 2021 - Hot water Boiler (Mechanical Room),44429,,,#N/A
Scenic Acres - 2021 - Attic Blower Repairs,44409,,,#N/A
Inglewood - 2021 - Sprinkler Repair,44409,,Nothing to be transferred Nov-21,Hazel D'Gama
Main Street Roof,43983,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Westney Garden - 2021 - Sump pump float,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Edinburgh - 2021 - Elevator cables Car #1,44348,Accrual sheet to be sent to PM in August.,,#N/A
Portobello - 2021 - Steam Cleaner,44348,Accrual sheet to be sent to PM in August.,,#N/A
Landmark - 2021 - Hvac Kitchen MUA,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Portobello - 2021 - HVAC,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Westside Place - 2021 - Q2/Q4 Minor Capital Fund C,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Hunt Club - 2021 - HVAC,44348,Accrual sheet to be sent to PM in August.,,#N/A
Landmark - 2021 - Hvac Hallway  MUA,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
2021- Port Perry - Generator upgrades  to Rad hoses and Battery charging system,44348,Accrual sheet to be sent to PM in August.,,Franco D'Angelo
Main Street Terrace - 2021 - Roof,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
Kennedy Lodge - Q2/Q4 - IPAC Capital Fund,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 - Kennedy Lodge - Combi Oven shower hose replacement .,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
Westney Gardens - 2021 - Irrigation System,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 – Heritage Lodge – Fire panel replacement,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Windsor Park - 2021 - Vacuum,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
2021- Alta Vista - 502  overflowed  sink,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021- Cambridge - DHW tank replacement,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Windsor Park - 2021 - HVAC,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
2021 – Heritage Lodge – Vacuum Replacement,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Alta Vista - 2021 - Commercial Washer,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 - Windsor Park - Replace kitchen grease trap,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 - Landmark Lower Level Furnace,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Landmark Court - 2021 - Painting,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
Cambridge - 2021 - Exterior - Canopy,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Sherwood Court - 2021 - Roof,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
Elginwood - 2021 - FAP & Devices,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 - Sherwood - Door security mag lock board,New project. Completion check not sent.,Completion check to be sent in August.,,Franco D'Angelo
2021 - Main Street - Invoice missed A-Plus,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Kennedy Lodge - 2021 - Tubs,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
2021 - Main street - Purchase a bariatric bed and mattress,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Humber Valley Terrace - 2021 - Section Roof replacement review condition on main roof,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Westney Gardens - 2021 - Balcony Repair,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Westney Gardens - 2021 - HVAC,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Windsor Park - 2021 - Exterior Furniture,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
The Edinburgh - 2021 - HVAC,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Windsor Park - 2021 - Caulking,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Windsor Park - 2021 - Elevator,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Landmark Court - 2021 - Dining Room Millwork,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Alta Vista - 2021 - Exterior,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
2021 - Windsor park - Boiler # 3 isolation valves x 2 replacement,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Sherwood Court - Q2/Q4 - IPAC Capital Fund,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
2021- Elginwood H-Vac Replacement components,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
2021- Sherwood - RTU-1 Rooftop Heating & Cooling Unit failed contactor,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
2021- Sherwood - P5 recir pump replace bearing seal,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
