Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Summit Place - 2021 - Exterior Brick Columns,New Project,Completion Check to be sent in November,,Tim Morrison
Sumac Lodge - 2021 - Corridor Flooring,New Project,Completion Check to be sent in November,,Tim Morrison
2021 - RET - More Living Operating,Completion Check Sent 11/15/2021,,,Suzanne D'Mello
Trillium Court - Q2/Q4 - IPAC Capital Fund,New Project,Completion Check to be sent in November,,Tim Morrison
Sara Vista - Q2/Q4 - IPAC Capital Fund,New Project,Completion Check to be sent in November,,Andrew Bautista
Main Street Terrace - Q2/Q4 - IPAC Capital Fund,New Project,Completion Check to be sent in November,,Franco D'Angelo
Eagle Terrace - 2021 - Q2/Q4 Minor Capital Fund C,New Project,Completion Check to be sent in November,,Andrew Bautista
2021 LTC-JV IT Refresh & Growth Endpoint Capital,New Project,Completion Check to be sent in November,,Joan Dewaele
2021 IT - 2 LTC Sites Door Security Compliance,New Project,Completion Check to be sent in November,,Filipe Felinto
Eagle Terrace - Q2/Q4 - IPAC Capital Fund,New Project,Completion Check to be sent in November,,Andrew Bautista
Mackenzie Place - 2021 - Dishwasher Room,New Project,Completion Check to be sent in November,,Andrew Bautista
2021 - Kennedy Lodge - Annual Fire Alarm Deficiencies,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021- Westney Garden - Soffit 5th floor replacement / repair,New Project,Completion Check to be sent in November,,Franco D'Angelo
Main Street - 2021 RTU Units - Replace the 200-amp 600 V,New Project,Completion Check to be sent in November,,Franco D'Angelo
Fosterbrooke - 2021 - Mixing Valve,New Project,Completion Check to be sent in November,,Andrew Bautista
Westside 2021- Sump pump,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 - LTC - HealthConnex Enhancements Capital,New Project,Completion Check to be sent in November,,Adam Butler
2021- Westside - Generator upgrade on ECM,New Project,Completion Check to be sent in November,,Franco D'Angelo
Arbutus 2021 - Electrical room HVAC,New Project,Completion Check to be sent in November,,Josh Guy
Reach View Village - 2021 - FLS Deficiencies,New Project,Completion Check to be sent in November,,Andrew Bautista
Williamsburg - Hvac defi 02 - 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
2021-Humber Valley - Fire Annual Deficiencies,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021- Westside - Fire Deficiencies,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 - Main Street - Replacement of 3 pot sink Taps,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 - Westney Garden - Chiller Circuit # 1 leak,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021-Westney Garden - Replace Smoke detector,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021-Westney Gardens - Entrance signage / restricted height,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021-Humber Valley - Walk-in Freezer Compressor,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 - RET - HealthConnex Enhancements - Capital,New Project,Completion Check to be sent in November,,Adam Butler
Garden City Manor - 2021 - Kitchen FF&E,New Project,Completion Check to be sent in November,,Lee Dunlop
Riverbend - 2021 - 4 Steam Tables,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Blenheim Multi - 2021 - Kitchen Equipment,New Project,Completion Check to be sent in November,,Shannon Shaw
2021 - LTC - Workforce Management - Capital,New Project,Completion Check to be sent in November,,Kristina Ioudine
Green Falls Landing - 2021 - Irrigation System,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Williamsburg - Ptac02 - 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
Fosterbrooke - 2021 - Boiler Leaks,New Project,Completion Check to be sent in November,,Andrew Bautista
2021-Westside - Mechanical room Replace Fan motor,New Project,Completion Check to be sent in November,,Franco D'Angelo
Williamsburg - 2021 - Flags and Signage,New Project,Completion Check to be sent in November,,Clint Stephenson
Westney Gardens -2021 - Backflow Replacement kit,New Project,Completion Check to be sent in November,,Franco D'Angelo
Kennedy Lodge - 2021 - Shut off Valves (3 Faucets),New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Arbutus - 2021 - HVAC,New Project,Completion Check to be sent in November,,Josh Guy
Trillium Court-2021-Fire Panel Booster,New Project,Completion Check to be sent in November,,Tim Morrison
2021 Spectrum 6th Floor Consolidation - Capital,New Project,Completion Check to be sent in November,,Toni Chamoun
Green Falls Landing - 2021 - Exterior,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Heartwood - 2021 - Hot Water Tank Replacement,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Green Falls - 2021 - Tenant Spaces - Doors,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
2021-Humber Valley - RTU MUA repairs,New Project,Completion Check to be sent in November,,Franco D'Angelo
Arbutus - 2021 - retrofit air cooled refrigeration equipment,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Williamsburg - 2021 - Exterior Structure,New Project,Completion Check to be sent in November,,Clint Stephenson
Pinecrest Manor2021-Suite Floor Replace,New Project,Completion Check to be sent in November,,Tim Morrison
2021-Westside- Fan coil motor replacement resident rooms,New Project,Completion Check to be sent in November,,Franco D'Angelo
Trillium Court-2021-BAS Head End Controller,New Project,Completion Check to be sent in November,,Tim Morrison
Brierwood Gardens - 2021 - Q2 IPAC,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Pinecrest Manor-2021-Courtyard Fence Replacement,New Project,Completion Check to be sent in November,,Tim Morrison
Trillium Court-2021-Roof Repairs Sept. 27,New Project,Completion Check to be sent in November,,Tim Morrison
Forest Heights-2021-Mag Lock Door Closers,New Project,Completion Check to be sent in November,,Tim Morrison
"Pinecrest Manor-2021-Door Closers ""Order""",New Project,Completion Check to be sent in November,,Tim Morrison
Kennedy Lodge - 2021 - Q2/Q4 Minor Capital Fund C,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 – Westside – Kitchen culinary Office Mold Removal -Reconstruction,New Project,Completion Check to be sent in November,,Franco D'Angelo
Trillium Court-2021-Door Closers,New Project,Completion Check to be sent in November,,Tim Morrison
Baywoods-2021-Fire Pump Mother Board,New Project,Completion Check to be sent in November,,Tim Morrison
Kilean Lodge-2021-Breaker Replacement,New Project,Completion Check to be sent in November,,Tim Morrison
Forest Heights-2021-Spa Tub Plumbing,New Project,Completion Check to be sent in November,,Tim Morrison
Forest Heights-2021-Laundry Plumbing Feed,New Project,Completion Check to be sent in November,,Tim Morrison
2021- Humber Valley - Replace 2 broke IGU,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021- Main Street - Replace of 2 x elevator operators ..,New Project,Completion Check to be sent in November,,Franco D'Angelo
Hillside Manor-2021-Sewage Pump,New Project,Completion Check to be sent in November,,Tim Morrison
Granite Landing - 2021 - Respite/Model Suites,New Project,Completion Check to be sent in November,,Adam Moy
2021 - RET - Workforce Management - Capital,New Project,Completion Check to be sent in November,,Kristina Ioudine
